Array,Site_Name,Survey_Days,Latitude,Longitude,Time_Zone,Year,Humans_Per_Camera,Humans_Per_Camera_Per_Day
KS_Forest_Pittsburg,KS_Forest_Pittsburg_3,26,37.4491,-94.7129,America/Chicago,2019,3,0.115384615384615
KS_Forest_Pittsburg,KS_Forest_Pittsburg_5,26,37.4442,-94.7107,America/Chicago,2019,6,0.230769230769231
KS_Forest_Pittsburg,KS_Forest_Pittsburg_6,52,37.4492,-94.71,America/Chicago,2019,8,0.153846153846154
KS_Forest_Pittsburg,KS_Forest_Pittsburg_7,9,37.4307,-94.6938,America/Chicago,2019,1,0.111111111111111
KS_Forest_Pittsburg,KS_Forest_Pittsburg_8,9,37.429,-94.6918,America/Chicago,2019,1,0.111111111111111
KS_Forest_Pittsburg,KS_Forest_Pittsburg_9,55,37.433,-94.6728,America/Chicago,2019,7,0.127272727272727
KY_Forest_Marshall_County,KY_Forest_Marshall_County_1,21,36.89426,-88.40725,America/Chicago,2019,1,0.0476190476190476
KY_Forest_Marshall_County,KY_Forest_Marshall_County_10B,20,36.94355,-88.47582,America/Chicago,2019,1,0.05
KY_Forest_Marshall_County,KY_Forest_Marshall_County_11B,20,36.94789,-88.48706,America/Chicago,2019,2,0.1
KY_Forest_Marshall_County,KY_Forest_Marshall_County_12B,21,36.98739,-88.57142,America/Chicago,2019,0,0
KY_Forest_Marshall_County,KY_Forest_Marshall_County_13B,21,36.99189,-88.57151,America/Chicago,2019,2,0.0952380952380952
KY_Forest_Marshall_County,KY_Forest_Marshall_County_14B,21,36.97387,-88.57114,America/Chicago,2019,2,0.0952380952380952
KY_Forest_Marshall_County,KY_Forest_Marshall_County_2B,21,36.89931,-88.40688,America/Chicago,2019,0,0
KY_Forest_Marshall_County,KY_Forest_Marshall_County_3B,21,36.90521,-88.41855,America/Chicago,2019,2,0.0952380952380952
KY_Forest_Marshall_County,KY_Forest_Marshall_County_4B,21,36.90826,-88.41266,America/Chicago,2019,0,0
KY_Forest_Marshall_County,KY_Forest_Marshall_County_5B,20,36.94778,-88.49761,America/Chicago,2019,0,0
KY_Forest_Marshall_County,KY_Forest_Marshall_County_6B,20,36.95236,-88.49209,America/Chicago,2019,1,0.05
KY_Forest_Marshall_County,KY_Forest_Marshall_County_7B,20,36.93544,-88.46907,America/Chicago,2019,0,0
KY_Forest_Marshall_County,KY_Forest_Marshall_County_8B,20,36.93468,-88.46367,America/Chicago,2019,1,0.05
KY_Forest_Marshall_County,KY_Forest_Marshall_County_9B,20,36.94335,-88.49191,America/Chicago,2019,1,0.05
LA_Forest_Hammond,LA_Forest_Hammond_1,42,30.52322,-90.47366,America/Chicago,2019,7,0.166666666666667
LA_Forest_Hammond,LA_Forest_Hammond_10,42,30.52671,-90.47836,America/Chicago,2019,3,0.0714285714285714
LA_Forest_Hammond,LA_Forest_Hammond_2,42,30.53188,-90.476,America/Chicago,2019,4,0.0952380952380952
LA_Forest_Hammond,LA_Forest_Hammond_3,42,30.52879,-90.475,America/Chicago,2019,4,0.0952380952380952
LA_Forest_Hammond,LA_Forest_Hammond_4,42,30.52796,-90.47765,America/Chicago,2019,6,0.142857142857143
LA_Forest_Hammond,LA_Forest_Hammond_5,42,30.52945,-90.4772,America/Chicago,2019,4,0.0952380952380952
LA_Forest_Hammond,LA_Forest_Hammond_6,42,30.5257,-90.47462,America/Chicago,2019,15,0.357142857142857
LA_Forest_Hammond,LA_Forest_Hammond_7,42,30.52657,-90.47617,America/Chicago,2019,7,0.166666666666667
LA_Forest_Hammond,LA_Forest_Hammond_9,42,30.53081,-90.47699,America/Chicago,2019,4,0.0952380952380952
MA_Forest_Amherst,MA_Forest_Amherst_1,29,42.39357,-72.48895,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_10,26,42.31592,-72.50197,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_11,29,42.37383,-72.48542,America/New_York,2019,1,0.0344827586206897
MA_Forest_Amherst,MA_Forest_Amherst_12,29,42.41433,-72.49433,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_13,51,42.39923,-72.50448,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_14,27,42.38962,-72.50982,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_16,29,42.35102,-72.51055,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_17,29,42.36162,-72.47678,America/New_York,2019,1,0.0344827586206897
MA_Forest_Amherst,MA_Forest_Amherst_18,26,42.34088,-72.49468,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_19,28,42.3594,-72.53912,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_2,27,42.39653,-72.53712,America/New_York,2019,0,0
