Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
Harrity,AZ_Forest_Harrity_1002_20220913_2022,2022,31.35977,-110.76364,2022-09-18,2022-11-06,49,Forest,Wild,0,0.09785077104630305,-1.5889598218132952,-0.22345008532897662
Harrity,AZ_Forest_Harrity_1003_20220913_2022,2022,31.359933,-110.74257,2022-09-14,2022-11-05,52,Forest,Wild,1,0.09288261678261764,-0.3166169700708919,-0.7121398997921996
Harrity,AZ_Forest_Harrity_1004_20220913_2022,2022,31.3509,-110.77428,2022-09-14,2022-11-06,53,Forest,Wild,0,1,-1.5889598218132952,-0.5721363184557774
Harrity,AZ_Forest_Harrity_1005_20220913_2022,2022,31.35072,-110.75279,2022-09-14,2022-11-06,53,Forest,Wild,0,0.0913465525622651,-1.5889598218132952,-0.6382074561724533
Harrity,AZ_Forest_Harrity_1006_20220913_2022,2022,31.34165,-110.78448,2022-09-16,2022-11-07,52,Forest,Wild,0,0.09288261678261764,-1.5889598218132952,-0.3605759081899758
Harrity,AZ_Forest_Harrity_1007_20220913_2022,2022,31.34159,-110.76318,2022-09-14,2022-11-06,53,Forest,Wild,1,1,-0.3406234389716891,-0.5629693238921214
Harrity,AZ_Forest_Harrity_1008_20220913_2022,2022,31.34165,-110.74272,2022-09-14,2022-11-05,52,Forest,Wild,0,0.09288261678261764,-1.5889598218132952,-0.6471256752328413
SRER2,AZ_Forest_Rural_SRER2_2023_14_2023,2023,31.769208,-110.852224,2023-09-16,2023-11-10,55,Forest,Rural,2,0.016601200744604604,0.8169248432996189,-0.34117620307985125
Harrity,AZ_Forest_Wild_Harrity_23_100320230717_2023,2023,31.359933,-110.74257,2023-08-01,2023-09-11,41,Forest,Wild,1,1,0.024743307225851476,-0.7121398997921996
Harrity,AZ_Forest_Wild_Harrity_23_100320230912_2023,2023,31.359933,-110.74257,2023-09-13,2023-12-01,79,Forest,Wild,2,1,0.08602317288556542,-0.7121398997921996
Harrity,AZ_Forest_Wild_Harrity_23_100420230717_2023,2023,31.3509,-110.77428,2023-08-01,2023-09-12,42,Forest,Wild,0,0.11003080400299835,-1.5889598218132952,-0.5721363184557774
Harrity,AZ_Forest_Wild_Harrity_23_100420230912_2023,2023,31.3509,-110.77428,2023-09-13,2023-11-30,78,Forest,Wild,0,0.058530927644890186,-1.5889598218132952,-0.5721363184557774
Harrity,AZ_Forest_Wild_Harrity_23_100520230717_2023,2023,31.35072,-110.75279,2023-08-01,2023-09-03,33,Forest,Wild,0,0.12691528136665942,-1.5889598218132952,-0.6382074561724533
Harrity,AZ_Forest_Wild_Harrity_23_100520230912_2023,2023,31.35072,-110.75279,2023-09-12,2023-11-13,62,Forest,Wild,0,0.07704746491638402,-1.5889598218132952,-0.6382074561724533
Harrity,AZ_Forest_Wild_Harrity_23_100620230717_2023,2023,31.34165,-110.78448,2023-08-05,2023-09-10,36,Forest,Wild,0,0.12000034649118205,-1.5889598218132952,-0.3605759081899758
Harrity,AZ_Forest_Wild_Harrity_23_100620230912_2023,2023,31.34165,-110.78448,2023-09-13,2023-11-04,52,Forest,Wild,0,0.09288261678261764,-1.5889598218132952,-0.3605759081899758
Harrity,AZ_Forest_Wild_Harrity_23_100720230717_2023,2023,31.34159,-110.76318,2023-08-01,2023-09-09,39,Forest,Wild,0,0.11552743533895408,-1.5889598218132952,-0.5629693238921214
Harrity,AZ_Forest_Wild_Harrity_23_100720230912_2023,2023,31.34159,-110.76318,2023-09-15,2023-11-29,75,Forest,Wild,0,1,-1.5889598218132952,-0.5629693238921214
Harrity,AZ_Forest_Wild_Harrity_23_100820230717_2023,2023,31.34165,-110.74272,2023-08-01,2023-09-12,42,Forest,Wild,0,0.11003080400299835,-1.5889598218132952,-0.6471256752328413
Harrity,AZ_Forest_Wild_Harrity_23_100820230912_2023,2023,31.34165,-110.74272,2023-09-13,2023-11-25,73,Forest,Wild,0,0.06466618824568424,-1.5889598218132952,-0.6471256752328413
Harrity,AZ_Forest_Wild_Harrity_23_110120230831_2023,2023,31.3594,-110.70051,2023-08-31,2023-10-13,43,Forest,Wild,0,0.10684921626060716,-1.5889598218132952,-0.980949485697468
Harrity,AZ_Forest_Wild_Harrity_23_110420230831_2023,2023,31.35044,-110.68963,2023-08-31,2023-10-13,43,Forest,Wild,0,0.10684921626060716,-1.5889598218132952,-0.728930332604659
Harrity,AZ_Forest_Wild_Harrity_23_110520230831_2023,2023,31.35005,-110.66898,2023-09-01,2023-10-12,41,Forest,Wild,0,0.11003080400299835,-1.5889598218132952,-0.18880044186889888
Harrity,AZ_Forest_Wild_Harrity_23_110620230831_2023,2023,31.34175,-110.70042,2023-09-01,2023-10-06,35,Forest,Wild,0,0.1235193719655027,-1.5889598218132952,-0.5439527330570125
Harrity,AZ_Forest_Wild_Harrity_23_110720230831_2023,2023,31.34133,-110.67929,2023-09-01,2023-10-08,37,Forest,Wild,0,0.11887864429313126,-1.5889598218132952,-0.49047614224162506
Harrity,AZ_Forest_Wild_Harrity_23_110820230831_2023,2023,31.34148,-110.65851,2023-08-31,2023-10-13,43,Forest,Wild,0,0.10684921626060716,-1.5889598218132952,-0.4369094181477457
Cienega,AZ_Grassland_Cienega_22_2019,2019,32.16578,-109.51025,2019-09-08,2019-11-19,72,Grassland,Wild,0,0.010153699700520396,-1.5889598218132952,-0.9981796770533816
Cienega,AZ_Grassland_Cienega_25_2019,2019,32.15255,-109.5337,2019-08-17,2019-09-14,28,Grassland,Wild,1,0.022962184903150135,0.7739626171368851,-0.6268401379653306
Cienega,AZ_Grassland_Cienega_29_2019,2019,32.180233,-109.475633,2019-09-08,2019-11-18,71,Grassland,Wild,0,0.010261454351663117,-1.5889598218132952,-0.2236125548691827
SRER1,AZ_Grassland_Rural_SRER1_2023_6_2023,2023,31.790183,-110.834022,2023-09-16,2023-11-10,55,Grassland,Rural,2,0.014914972189590819,0.8169248432996189,-0.32521380996171306
SRER1,AZ_Grassland_Rural_SRER1_2023_7_2023,2023,31.791844,-110.832952,2023-09-16,2023-11-10,55,Grassland,Rural,2,0.014914972189590819,0.8169248432996189,-0.32521380996171306
VermilionCliffs,AZ_Grassland_Vermilion_Cliffs_11_2019,2019,35.28934,-111.709,2019-08-24,2019-10-14,51,Shrubland,Wild,0,0.07891373380075417,-1.5889598218132952,-0.6393811024505293
VermilionCliffs,AZ_Grassland_Vermilion_Cliffs_12_2019,2019,35.28113,-111.709,2019-08-26,2019-10-11,46,Shrubland,Wild,0,0.08637832376589401,-1.5889598218132952,-0.6393811024505293
VermilionCliffs,AZ_Grassland_Vermilion_Cliffs_13_2019,2019,35.27785,-111.7,2019-08-23,2019-10-14,52,Shrubland,Wild,0,0.07790042501775057,-1.5889598218132952,-0.8626236276179609
VermilionCliffs,AZ_Grassland_Vermilion_Cliffs_14_2019,2019,35.33744,-111.717,2019-08-23,2019-10-13,51,Shrubland,Wild,0,0.07891373380075417,-1.5889598218132952,2.5918228728434847
VermilionCliffs,AZ_Grassland_Vermilion_Cliffs_7_2019,2019,35.35103,-111.718,2019-08-23,2019-10-13,51,Shrubland,Wild,0,0.07891373380075417,-1.5889598218132952,-0.053942686134554274
VermilionCliffs,AZ_Grassland_Vermilion_Cliffs_8_2019,2019,35.36407,-111.717,2019-08-23,2019-10-13,51,Shrubland,Wild,0,1,-1.5889598218132952,-1.0663987041920657
