"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Site"
"40","262","269","276","283","290","297","302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_LION_10-29-2023_2023"
"41","236","243","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Sonoran_23_OWL_10-31-2023_2023"
"42","238","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_TV5_dep1_2022"
"43","253","260","267","274","281","288","295","302","309","315",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Tucson_AC2_dep1_2022"
"44","253","260","267","274","281","288","295","302","309","315",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Tucson_AC3_depl1_2022"
"45","253","260","267","274","281","288","295","302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Tucson_AC4_dep1_2022"
"46","259","266","273","280","287","294","301","308","315","322","327",NA,NA,NA,NA,NA,NA,NA,"AZ_Desert_Tucson_Res3_dep1_2022"
"47","245","252","259","266","273","280","287","294","301","308","315","320",NA,NA,NA,NA,NA,NA,"AZ_Desert_UT3_2022"
"48","221","228","235","242","249","255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1001_20220718_2022"
"49","217","224","231","238","245","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1002_20220718_2022"
"50","216","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1003_20220718_2022"
"51","216","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1004_20220718_2022"
"52","216","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1005_20220718_2022"
"53","217","224","231","238","245","252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1006_20220718_2022"
"54","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1007_20220718_2022"
"55","223","230","237","244","251","256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1008_20220718_2022"
"56","216","223","230","237","244","251","258","265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1101_20220722_2022"
