"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Nights","Habitat","Development_Level","Humans_Per_Camera","Humans_Per_Camera_Per_Day"
"311","Harrity","AZ_Forest_1005_20220718_2022",2022,31.35072,-110.75279,"2022-08-01","2022-09-13",43,"Forest","Wild",1,0.0232558139534884
"312","Harrity","AZ_Forest_1006_20220718_2022",2022,31.34165,-110.78448,"2022-08-02","2022-09-13",42,"Forest","Wild",1,0.0238095238095238
"313","Harrity","AZ_Forest_1007_20220718_2022",2022,31.34159,-110.76318,"2022-08-01","2022-09-12",42,"Forest","Wild",1,0.0238095238095238
"314","Harrity","AZ_Forest_1008_20220718_2022",2022,31.34165,-110.74272,"2022-08-08","2022-09-13",36,"Forest","Wild",0,0
"315","Harrity","AZ_Forest_1101_20220722_2022",2022,31.3594,-110.70051,"2022-08-01","2022-09-26",56,"Forest","Wild",1,0.0178571428571429
"316","Harrity","AZ_Forest_1101_20220926_2022",2022,31.3594,-110.70051,"2022-09-26","2022-11-17",52,"Forest","Wild",0,0
"317","Harrity","AZ_Forest_1102_20220722_2022",2022,31.35964,-110.67932,"2022-08-08","2022-09-10",33,"Forest","Wild",0,0
"318","Harrity","AZ_Forest_1102_20220926_2022",2022,31.35964,-110.67932,"2022-09-27","2022-11-17",51,"Forest","Wild",0,0
"319","Harrity","AZ_Forest_1103_20220722_2022",2022,31.35944,-110.65825,"2022-08-06","2022-09-26",51,"Forest","Wild",0,0
"320","Harrity","AZ_Forest_1103_20220926_2022",2022,31.35944,-110.65825,"2022-09-26","2022-11-17",52,"Forest","Wild",0,0
"321","Harrity","AZ_Forest_1104_20220722_2022",2022,31.35055,-110.6898,"2022-08-02","2022-09-23",52,"Forest","Wild",0,0
"322","Harrity","AZ_Forest_1104_20220926_2022",2022,31.35055,-110.6898,"2022-09-26","2022-11-13",48,"Forest","Wild",2,0.0416666666666667
"323","Harrity","AZ_Forest_1105_20220926_2022",2022,31.35005,-110.66898,"2022-09-26","2022-11-16",51,"Forest","Wild",0,0
"324","Harrity","AZ_Forest_1106_20220926_2022",2022,31.34158,-110.70044,"2022-09-29","2022-11-14",46,"Forest","Wild",0,0
"325","Harrity","AZ_Forest_1107_20220926_2022",2022,31.34133,-110.67929,"2022-09-30","2022-11-12",43,"Forest","Wild",0,0
