"Prey","Overlap with Pumas","Overlap with Wolves"
"White-tailed Deer",0.78,0.85
"Mule Deer",0.79,0.64
"Elk",0.8,0.79
"Moose",0.75,0.77
"Coyote",0.9,0.89
"Bobcat",0.91,0.75
"Raccoon",0.67,0.51
"Red Fox",0.9,0.74
"Striped Skunk",0.71,0.52
