"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Days","Humans_Per_Camera_Per_Day"
"255","Tucson","AZ_Desert_Tucson_AC2_dep1_2022",2022,32.2828,-110.7393,"2022-09-07","2022-11-12",66,0.575757575757576
"256","Tucson","AZ_Desert_Tucson_AC3_depl1_2022",2022,32.2669,-110.7507,"2022-09-07","2022-10-31",54,0.0925925925925926
"257","Tucson","AZ_Desert_Tucson_AC4_dep1_2022",2022,32.2563,-110.7621,"2022-09-07","2022-10-31",54,0.0925925925925926
"258","Tucson","AZ_Desert_Tucson_Res3_dep1_2022",2022,32.2777,-110.8668,"2022-09-13","2022-11-23",71,1.63380281690141
"259","Tucson","AZ_Desert_UT3_2022",2022,32.243,-110.75,"2022-08-30","2022-11-17",79,0.0379746835443038
"260","Harrity","AZ_Forest_1001_20220718_2022",2022,31.3596,-110.7847,"2022-08-01","2022-09-13",43,0.0465116279069767
"261","Harrity","AZ_Forest_1002_20220718_2022",2022,31.3598,-110.7636,"2022-08-01","2022-09-13",43,0.0232558139534884
"262","Harrity","AZ_Forest_1003_20220718_2022",2022,31.3599,-110.7426,"2022-08-01","2022-09-13",43,0.0465116279069767
"263","Harrity","AZ_Forest_1004_20220718_2022",2022,31.3509,-110.7743,"2022-08-01","2022-09-13",43,0.0465116279069767
"264","Harrity","AZ_Forest_1005_20220718_2022",2022,31.3507,-110.7528,"2022-08-01","2022-09-13",43,0.0232558139534884
"265","Harrity","AZ_Forest_1006_20220718_2022",2022,31.3417,-110.7845,"2022-08-01","2022-09-13",43,0.0232558139534884
"266","Harrity","AZ_Forest_1007_20220718_2022",2022,31.3416,-110.7632,"2022-08-01","2022-09-13",43,0.0232558139534884
"267","Harrity","AZ_Forest_1008_20220718_2022",2022,31.3417,-110.7427,"2022-08-01","2022-09-13",43,0
"268","Harrity","AZ_Forest_1101_20220722_2022",2022,31.3594,-110.7005,"2022-08-01","2022-09-26",56,0.0178571428571429
"269","Harrity","AZ_Forest_1101_20220926_2022",2022,31.3594,-110.7005,"2022-09-26","2022-11-17",52,0
"270","Harrity","AZ_Forest_1102_20220722_2022",2022,31.3596,-110.6793,"2022-08-01","2022-09-26",56,0
"271","Harrity","AZ_Forest_1102_20220926_2022",2022,31.3596,-110.6793,"2022-09-26","2022-11-17",52,0
"272","Harrity","AZ_Forest_1103_20220722_2022",2022,31.3594,-110.6583,"2022-08-01","2022-09-26",56,0
"273","Harrity","AZ_Forest_1103_20220926_2022",2022,31.3594,-110.6583,"2022-09-26","2022-11-17",52,0
"274","Harrity","AZ_Forest_1104_20220722_2022",2022,31.3506,-110.6898,"2022-08-01","2022-09-26",56,0
"275","Harrity","AZ_Forest_1104_20220926_2022",2022,31.3506,-110.6898,"2022-09-26","2022-11-17",52,0.0384615384615385
"276","Harrity","AZ_Forest_1105_20220926_2022",2022,31.3501,-110.669,"2022-09-26","2022-11-17",52,0
"277","Harrity","AZ_Forest_1106_20220926_2022",2022,31.3416,-110.7004,"2022-09-26","2022-11-17",52,0
"278","Harrity","AZ_Forest_1107_20220926_2022",2022,31.3413,-110.6793,"2022-09-26","2022-11-17",52,0
"279","Harrity","AZ_Forest_1108_20220926_2022",2022,31.3415,-110.6585,"2022-09-26","2022-11-17",52,0.0384615384615385
"280","Harrity","AZ_Forest_Harrity_1001_20220913_2022",2022,31.3596,-110.7847,"2022-09-13","2022-11-07",55,0
"281","Harrity","AZ_Forest_Harrity_1002_20220913_2022",2022,31.3598,-110.7636,"2022-09-13","2022-11-07",55,0
"282","Harrity","AZ_Forest_Harrity_1003_20220913_2022",2022,31.3599,-110.7426,"2022-09-13","2022-11-07",55,0.0181818181818182
"283","Harrity","AZ_Forest_Harrity_1004_20220913_2022",2022,31.3509,-110.7743,"2022-09-13","2022-11-07",55,0
"284","Harrity","AZ_Forest_Harrity_1005_20220913_2022",2022,31.3507,-110.7528,"2022-09-13","2022-11-07",55,0
"285","Harrity","AZ_Forest_Harrity_1006_20220913_2022",2022,31.3417,-110.7845,"2022-09-13","2022-11-07",55,0
"286","Harrity","AZ_Forest_Harrity_1007_20220913_2022",2022,31.3416,-110.7632,"2022-09-13","2022-11-07",55,0.0181818181818182
"287","Harrity","AZ_Forest_Harrity_1008_20220913_2022",2022,31.3417,-110.7427,"2022-09-13","2022-11-13",61,0
"288","AZ_Grassland_Cienega","AZ_Grassland_Cienega_10_2019",2019,32.16065,-109.497,"2019-09-05","2019-11-19",75,0.106666666666667
"289","AZ_Grassland_Cienega","AZ_Grassland_Cienega_16_2019",2019,32.171217,-109.515533,"2019-09-04","2019-11-24",81,0.0987654320987654
"290","AZ_Grassland_Cienega","AZ_Grassland_Cienega_17_2019",2019,32.180767,-109.517283,"2019-09-14","2019-11-24",71,0.0985915492957746
"291","AZ_Grassland_Cienega","AZ_Grassland_Cienega_1_2019",2019,32.16413,-109.471,"2019-09-05","2019-11-24",80,0.0875
"292","AZ_Grassland_Cienega","AZ_Grassland_Cienega_22_2019",2019,32.16578,-109.51025,"2019-09-07","2019-11-18",72,0
"293","AZ_Grassland_Cienega","AZ_Grassland_Cienega_25_2019",2019,32.15255,-109.5337,"2019-08-17","2019-09-14",28,0.0357142857142857
"294","AZ_Grassland_Cienega","AZ_Grassland_Cienega_29_2019",2019,32.180233,-109.475633,"2019-09-07","2019-11-18",72,0
"295","AZ_Grassland_Vermilion_Cliffs","AZ_Grassland_Vermilion_Cliffs_11_2019",2019,35.28934,-111.709,"2019-08-24","2019-10-14",51,0
"296","AZ_Grassland_Vermilion_Cliffs","AZ_Grassland_Vermilion_Cliffs_12_2019",2019,35.28113,-111.709,"2019-08-25","2019-10-11",47,0
"297","AZ_Grassland_Vermilion_Cliffs","AZ_Grassland_Vermilion_Cliffs_13_2019",2019,35.27785,-111.7,"2019-08-23","2019-10-14",52,0
"298","AZ_Grassland_Vermilion_Cliffs","AZ_Grassland_Vermilion_Cliffs_14_2019",2019,35.33744,-111.717,"2019-08-23","2019-10-12",50,0
"299","AZ_Grassland_Vermilion_Cliffs","AZ_Grassland_Vermilion_Cliffs_7_2019",2019,35.35103,-111.718,"2019-08-23","2019-10-12",50,0
"300","AZ_Grassland_Vermilion_Cliffs","AZ_Grassland_Vermilion_Cliffs_8_2019",2019,35.36407,-111.717,"2019-08-23","2019-10-13",51,0
"343","MT_Arrow S Ranch","BAC.AROW_Rec003_Mem048.20190901_2019",2019,48.04665,-112.7181,"2019-09-01","2019-11-05",60,0.0333333333333333
